#
# http://www.portaldalinguaportuguesa.org/index.php?action=gentilicos&act=list
#
# toponym;type;demonym:pos;holonym
# toponym (language variant);type;demonym:pos;holonym (country)
#
Arganil;vila;arganilense:N;Coimbra (Portugal)
Argélia;país;argeliano:ADJ;África
Argélia;país;argeliano:N;África
Argélia;país;argelino:ADJ;África
Argélia;país;argelino:N;África
Argentina;país;argentino:ADJ;América
Argentina;país;argentino:N;América
Ariquemes;cidade;ariquemense:ADJ;Rondónia (Brasil)
Ariquemes;cidade;ariquemense:N;Rondónia (Brasil)
Armamar;vila;armamarense:ADJ;Viseu (Portugal)
Armamar;vila;armamarense:N;Viseu (Portugal)
Armênia (PB);país;armênio:ADJ;Ásia
Armênia (PB);país;armênio:ADJ;Ásia
Arménia (Portugal);país;arménio:ADJ;Ásia
Arménia (Portugal);país;arménio:ADJ;Ásia
Arouca;vila;arouquense:ADJ;Aveiro (Portugal)
Arouca;vila;arouquense:N;Aveiro (Portugal)
Arouca;vila;arouquês:ADJ;Aveiro (Portugal)
Arraiolos;vila;arraiolense:ADJ;Évora (Portugal)
Arraiolos;vila;arraiolense:N;Évora (Portugal)
Arronches;vila;arronchense:ADJ;Portalegre (Portugal)
Arronches;vila;arronchense:N;Portalegre (Portugal)
Arruda dos Vinhos;vila;arrudense:ADJ;Lisboa (Portugal)
Arruda dos Vinhos;vila;arrudense:N;Lisboa (Portugal)
Aruba;ilha;arubano:ADJ;América
Aruba;ilha;arubano:N;América
Ásia;continente;asiático:ADJ;Mundo
Ásia;continente;asiático:N;Mundo
Assam;região;assamês:ADJ;Índia
Assam;região;assamês:N;Índia
Assuã (PB);região;assuanês:ADJ;Egipto
Assuã (PB);região;assuanês:N;Egipto
Assuão (Portugal);região;assuanês:ADJ;Egipto
Assuão (Portugal);região;assuanês:N;Egipto
Asti;cidade;astiense:ADJ;Itália
Asti;cidade;astiense:N;Itália
Astipaleia;ilha;astipalense:ADJ;Grécia
Astipaleia;ilha;astipalense:N;Grécia
Astúrias;região;asturiano:ADJ;Espanha
Astúrias;região;asturiano:N;Espanha
Atacama;deserto;atacamenho:ADJ;Chile
Atacama;deserto;atacamenho:N;Chile
Atenas;cidade;ateniense:ADJ;Grécia
Atenas;cidade;ateniense:N;Grécia
Augusta;cidade;augustino:ADJ;Turquia
Augusta;cidade;augustino:N;Turquia
Australásia;continente;australasiano:ADJ;Mon
Australásia;continente;australasiano:N;Mon
Austrália;país;australiano:ADJ;Oceânia
Austrália;país;australiano:N;Oceânia
Austrália;país;austrálio:ADJ;Oceânia
Austrália;país;austrálio:N;Oceânia
Áustria;país;austríaco:ADJ;Europa
Áustria;país;austríaco:N;Europa
Auvérnia;região;auvérnio:ADJ;França
Auvérnia;região;auvérnio:N;França
Avaré;cidade;avareense:ADJ;São Paulo (Brasil)
Avaré;cidade;avareense:N;São Paulo (Brasil)
Aveiro;cidade;aveirense:ADJ;Aveiro (Portugal)
Aveiro;cidade;aveirense:N;Aveiro (Portugal)
Avis;vila;avisense:ADJ;Portalegre (Portugal)
Avis;vila;avisense:N;Portalegre (Portugal)
Azambuja;vila;azambujense:ADJ;Santarém (Portugal)
Azambuja;vila;azambujense:N;Santarém (Portugal)
Azambuja;vila;azambujino:ADJ;Santarém (Portugal)
Azambuja;vila;azambujino:N;Santarém (Portugal)
Azeitão;vila;azeitonense:ADJ;Setúbal (Portugal)
Azeitão;vila;azeitonense:N;Setúbal (Portugal)
Azerbaijão;país;azerbaidjano:ADJ;Ásia
Azerbaijão;país;azerbaidjano:N;Ásia
Azerbaijão;país;azerbaijanês:ADJ;Ásia
Azerbaijão;país;azerbaijanês:N;Ásia
Azerbaijão;país;azerbaijano:ADJ;Ásia
Azerbaijão;país;azerbaijano:N;Ásia
Azerbaijão;país;azeri:ADJ;Ásia
Azerbaijão;país;azeri:N;Ásia
Baamas;país;baamense:ADJ;América
Baamas;país;baamense:N;América
Baamas;país;baamês:ADJ;América
Baamas;país;baamês:N;América
Baamas;país;baamiano:ADJ;América
Baamas;país;baamiano:N;América
Baamas;país;bahamense:ADJ;América
Baamas;país;bahamense:N;América
Baamas;país;bahamiano:ADJ;América
Baamas;país;bahamiano:N;América
Bade-Vurtemberga;região;vurtemberguês:ADJ;Alemanha
Bade-Vurtemberga;região;vurtemberguês:N;Alemanha
Bagdade;cidade;bagdali:ADJ;Iraque
Bagdade;cidade;bagdali:N;Iraque
Bahia (PB);estado;baiano:ADJ;Brasil
Bahia (PB);estado;baiano:N;Brasil
Bahia (PB);estado;baião:ADJ;Brasil
Bahia (PB);estado;baião:N;Brasil
Baía (Portugal);estado;baiano:ADJ;Brasil
Baía (Portugal);estado;baiano:N;Brasil
Baía (Portugal);estado;baião:ADJ;Brasil
Baía (Portugal);estado;baião:N;Brasil
Baião;vila;baianense:ADJ;Porto (Portugal)
Baião;vila;baianense:N;Porto (Portugal)
Baiona;cidade;baionês:ADJ;França
Baiona;cidade;baionês:N;França
Bairrada;cidade;bairradino:ADJ;Aveiro (Portugal)
Bairrada;cidade;bairradino:N;Aveiro (Portugal)
Bajé;cidade;bajeense:ADJ;Rio Grande do Sul (Brasil)
Bajé;cidade;bajeense:N;Rio Grande do Sul (Brasil)
Baleares;região;balear:ADJ;Espanha
Baleares;região;balear:N;Espanha
Bali;ilha;balinês:ADJ;Indonésia
Bali;ilha;balinês:N;Indonésia
Baltistão;região;baltistanês:ADJ;Paquistão
Baltistão;região;baltistanês:N;Paquistão
Bância;cidade;bantino:ADJ;Itália
Bância;cidade;bantino:N;Itália
Bangladeche;país;bangladechiano:ADJ;Ásia
Bangladeche;país;bangladechiano:N;Ásia
Bangladeche;país;bangladeshiano:ADJ;Ásia
Bangladeche;país;bangladeshiano:N;Ásia
Bangladeche;país;bengali:ADJ;Ásia
Bangladeche;país;bengali:N;Ásia
Barbados;país;barbadense:ADJ;América
Barbados;país;barbadense:N;América
Barbados;país;barbadiano:ADJ;América
Barbados;país;barbadiano:N;América
Barcelona;cidade;barcelonense:ADJ;Espanha
Barcelona;cidade;barcelonense:N;Espanha
Barcelona;cidade;barcelonês:ADJ;Espanha
Barcelona;cidade;barcelonês:N;Espanha
Barcelos;cidade;barcelense:ADJ;Braga (Portugal)
Barcelos;cidade;barcelense:N;Braga (Portugal)
Barém;país;baramês:ADJ;Ásia
Barém;país;baramês:N;Ásia
Barém;país;bareinita:ADJ;Ásia
Barém;país;bareinita:N;Ásia
Barrancos;vila;barranquenho:ADJ;Beja (Portugal)
Barrancos;vila;barranquenho:N;Beja (Portugal)
Barreiro;cidade;barreirense:ADJ;Setúbal (Portugal)
Barreiro;cidade;barreirense:N;Setúbal (Portugal)
Barroso;região;barrosão:ADJ;Vila Real (Portugal)
Barroso;região;barrosão:N;Vila Real (Portugal)
Barroso;região;barrosinho:ADJ;Vila Real (Portugal)
Barroso;região;barrosinho:N;Vila Real (Portugal)
Basilicata;região;lucano:ADJ;Itália
Basilicata;região;lucano:N;Itália
Batalha;vila;batalhense:ADJ;Leiria (Portugal)
Batalha;vila;batalhense:N;Leiria (Portugal)
Baviera;região;bávaro:ADJ;Alemanha
Baviera;região;bávaro:N;Alemanha
Beira;região;beirão:ADJ;Portugal
Beira;região;beirão:N;Portugal
Beira;região;beirense:ADJ;Portugal
Beira;região;beirense:N;Portugal
Beira Alta;região;beiraltino:ADJ;Portugal
Beira Alta;região;beiraltino:N;Portugal
Beja;cidade;bejense:ADJ;Beja (Portugal)
Beja;cidade;bejense:N;Beja (Portugal)
Beja;cidade;pacense:ADJ;Beja (Portugal)
Beja;cidade;pacense:N;Beja (Portugal)
Beja;região;pacense:ADJ;Beja (Portugal)
Beja;região;pacense:N;Beja (Portugal)
Belém;cidade;belemita:ADJ;Jordânia
Belém;cidade;belemita:N;Jordânia
Belém;cidade;belenense:ADJ;Palestina
Belém;cidade;belenense:N;Palestina
Belém;cidade;betlemita:ADJ;Palestina
Belém;cidade;betlemita:N;Palestina
Belém;vila;belenense:ADJ;Lisboa (Portugal)
Belém;vila;belenense:N;Lisboa (Portugal)
Bélgica;país;belga:ADJ;Europa
Bélgica;país;belga:N;Europa
Bélgica;país;bélgico:ADJ;Europa
Bélgica;país;bélgico:N;Europa
Belgrado;cidade;belgradino:ADJ;Sérvia e Montenegro
Belgrado;cidade;belgradino:N;Sérvia e Montenegro
Belize;cidade;belizenho:ADJ;Honduras
Belize;cidade;belizenho:N;Honduras
Belize;país;belizenho:ADJ;América
Belize;país;belizenho:N;América
Belize;país;belizense:ADJ;América
Belize;país;belizense:N;América
Belmonte;vila;belmontense:ADJ;Castelo Branco (Portugal)
Belmonte;vila;belmontense:N;Castelo Branco (Portugal)
Belo Horizonte;cidade;belo-horizontino:ADJ;Minas Gerais (Brasil)
Belo Horizonte;cidade;belo-horizontino:N;Minas Gerais (Brasil)
Belo Vale;cidade;belo-valense:ADJ;Minas Gerais (Brasil)
Belo Vale;cidade;belo-valense:N;Minas Gerais (Brasil)
Benavente;vila;benaventense:ADJ;Santarém (Portugal)
Benavente;vila;benaventense:N;Santarém (Portugal)
Bengala;região;bengala:ADJ;Ásia
Bengala;região;bengala:N;Ásia
Bengala;região;bengalês:ADJ;Ásia
Bengala;região;bengalês:N;Ásia
Bengala;região;bengali:ADJ;Ásia
Bengala;região;bengali:N;Ásia
Bengasi;cidade;bengasiano:ADJ;Líbia
Bengasi;cidade;bengasiano:N;Líbia
Benguela;região;benguelense:ADJ;Angola
Benguela;região;benguelense:N;Angola
Benim;país;beninense:ADJ;África
Benim;país;beninense:N;África
Benim;país;beninês:ADJ;África
Benim;país;beninês:N;África
Berbéria;Região;berbere:ADJ;África
Berbéria;Região;berbere:N;África
Bérgamo;cidade;bergamasco:ADJ;Itália
Bérgamo;cidade;bergamasco:N;Itália
Berlim;cidade;berlinense:ADJ;Alemanha
Berlim;cidade;berlinense:N;Alemanha
Berlim;cidade;berlinês:ADJ;Alemanha
Berlim;cidade;berlinês:N;Alemanha
Bermudas;arquipélago;bermudense:ADJ;América
Bermudas;arquipélago;bermudense:N;América
Bermudas;arquipélago;bermudês:ADJ;América
Bermudas;arquipélago;bermudês:N;América
Berna;cidade;bernense:ADJ;Suíça
Berna;cidade;bernense:N;Suíça
Berna;cidade;bernês:ADJ;Suíça
Berna;cidade;bernês:N;Suíça
Biafadas;região;biafada:ADJ;Guiné-Bissau
Biafadas;região;biafada:N;Guiné-Bissau
Biafra;região;biafrense:ADJ;Nigéria
Biafra;região;biafrense:N;Nigéria
Bielorrússia;país;bielorrusso:ADJ;Europa
Bielorrússia;país;bielorrusso:N;Europa
Bilbau;cidade;bilbaíno:ADJ;Espanha
Bilbau;cidade;bilbaíno:N;Espanha
Biscaia;região;biscainho:ADJ;Espanha
Biscaia;região;biscainho:N;Espanha
